"","to","from","from_gdp","to_gdp","domestic","km","value","from_pop","to_pop"
"262","NL","NE",176276.27658,33159.5,0,3464.18563450041,315,1961504,510550
"263","NL","MA",780309.41955,33159.5,0,1508.21958870345,21720,7029917,510550
"265","NL","WY",53115.14355,33159.5,0,4103.66845615838,2563,576851,510550
"266","NL","VA",745322.11842,33159.5,0,2238.33247958261,33606,8631393,510550
"267","NL","IA",260420.71125,33159.5,0,3114.81427022237,3276,3190369,510550
"268","NL","AB",339674.4,33159.5,1,4182.43748318335,146412000,4262635,510550
"269","NL","NV",244960.46859,33159.5,0,5101.55878782947,3096,3104614,510550
"270","NL","AZ",498087.34323,33159.5,0,5022.53988232639,7346,7151502,510550
"271","NL","PE",6778.2,33159.5,1,736.803326872393,28821000,154331,510550
"272","NL","CO",527898.67284,33159.5,0,4142.29072875624,7895,5773714,510550
"273","NL","KS",233625.69072,33159.5,0,3552.04920107403,4761,2937880,510550
"274","NL","DE",104440.96245,33159.5,0,1984.70258908036,2468270,989948,510550
"275","NL","MN",510657.73038,33159.5,0,3008.84749259904,1095129,5706494,510550
"276","NL","NJ",853618.25613,33159.5,0,1835.00916883924,30116976,9288994,510550
"277","NL","BC",286182.1,33159.5,1,4705.59773522704,180606000,5000879,510550
"278","NL","IN",510642.47103,33159.5,0,2705.55180749709,8232,6785528,510550
"279","NL","SK",79001.8,33159.5,1,3682.55564061808,5442000,1132505,510550
"280","NL","QC",425276.7,33159.5,1,1415.02944026827,1034428000,8501833,510550
"281","NL","TX",2474499.05487,33159.5,0,4117.53610463956,2634151569,29145505,510550
"282","NL","GA",858100.65702,33159.5,0,2980.39921312417,227887,10711908,510550
"283","NL","MI",716840.87337,33159.5,0,2415.38062371206,22462,10077331,510550
"284","NL","OK",273331.71363,33159.5,0,3761.42207351246,45036,3959353,510550
"286","NL","NC",786121.37424,33159.5,0,2534.34822520267,2896214,10439388,510550
"287","NL","SC",331161.99633,33159.5,0,2737.39087192171,35612,5118425,510550
"288","NL","OH",932697.64812,33159.5,0,2435.39721037155,11748569,11799448,510550
"289","NL","ON",833628.8,33159.5,1,2064.45375422924,742196000,14223942,510550
"290","NL","CA",4071764.74893,33159.5,0,5432.09108488023,982910,39538223,510550
"292","NL","AR",175981.17402,33159.5,0,3483.41196989062,275,3011524,510550
"293","NL","NS",42703.5,33159.5,1,795.539089766901,241939000,969383,510550
"294","NL","OR",330108.57042,33159.5,0,5098.63068724707,438526,4237256,510550
"295","NL","KY",292818.69972,33159.5,0,2770.29162599464,18281,4505836,510550
"296","NL","ID",112029.37086,33159.5,0,4615.41338928832,65059,1839106,510550
"297","NL","NH",116592.31458,33159.5,0,1466.87819453352,337214,1377529,510550
"298","NL","CT",380093.02611,33159.5,0,1661.72711533428,8436730,3605944,510550
"299","NL","MO",444180.04038,33159.5,0,3245.45222453084,2381,6154913,510550
"300","NL","IL",1188374.02842,33159.5,0,2799.95706229524,20067,12812508,510550
"301","NL","WI",460310.36754,33159.5,0,2734.74034964444,87912,5893718,510550
"302","NL","AK",72381.86424,33159.5,0,5702.06788299308,221631,733391,510550
"303","NL","RI",83348.82543,33159.5,0,1546.2026546735,703504,1097379,510550
"304","NL","WA",807608.92746,33159.5,0,4896.38131744336,1054324,7705281,510550
"305","NL","TN",511961.8077,33159.5,0,2979.62758062055,556,6910840,510550
"306","NL","LA",341675.4231,33159.5,0,3712.8079560204,367654082,4657757,510550
"307","NL","NY",2371795.13721,33159.5,0,1783.74509285715,1642816,20201249,510550
"308","NL","MS",154100.46033,33159.5,0,3438.70022552104,173410,2961279,510550
